UID,Name,Link (only from pdb),CID,Source,Description (only from pdb),Event Childhood,Event Teenage,Event Pre-Hero,Event Hero (1),Event Hero (2),Event Hero (3),Dilemma(1) Save One or Save Many,Dilemma (2) Hero or Villain?,Dilemma(3) Reveal Identity or Protect Loved Ones,Dilemma(4) Join or Fight Against the Government,True event,Human label
4,Thor Odinson,https://www.personality-database.com/profile/344985/thor-odinson-what-if-2021-mbti-personality-type,344985,['What If...? (2021)'],Prince Thor Odinson is the son of King Odin and Queen Frigga who grew up as an only child and grew to be a rambunctious adult who threw multiple parties throughout the galaxy.,"""As a child, you were raised as the only heir to Asgard, without the rivalry of a younger brother, Loki. Without his influence, you grew up to be...""
A) A responsible future king
B) A carefree and fun-loving prince
C) An overachiever seeking Odin’s approval
D) Completely uninterested in ruling","""During your teenage years, instead of focusing on warrior training like most Asgardians, you spent most of your time...""
A) Practicing your speeches for when you become king
B) Sneaking off to different realms to party
C) Training alone to impress your parents
D) Challenging warriors to duels just for fun","""Odin fell into the Odinsleep, leaving Frigga in charge. While she expected you to behave, you instead...""
A) Planned the biggest intergalactic party ever
B) Stayed in Asgard like a responsible prince
C) Traveled to Earth in search of allies
D) Tried to prove yourself by taking on a dangerous mission","""You arrived on Earth with your entourage, ready to party in Las Vegas. When Jane Foster and Darcy Lewis confronted you about the consequences of your actions, your response was...""
A) Laughing it off and inviting them to join the party
B) Ignoring them and continuing the fun
C) Listening to them but doing nothing about it
D) Taking their warning seriously and calling it off

","""As your party spread across the planet, S.H.I.E.L.D. saw you as a global threat. In response, they summoned Captain Marvel to stop you. Your immediate reaction was...""
A) Challenging her to a battle across different countries
B) Trying to talk your way out of it
C) Convincing her to join the party instead
D) Running away before she could find you","""After realizing your party nearly destroyed Earth, you knew you had to fix things before your mother found out. To solve the problem, you...""
A) Cleaned up everything at the last second
B) Tried to shift the blame onto someone else
C) Begged Frigga for forgiveness
D) Acted like nothing happened and hoped for the best",,,,,,
4,Thor Odinson,https://www.personality-database.com/profile/1800221/thor-odinson-twilight-of-the-gods-mbti-personality-type,1800221,['Twilight of the Gods'],"Thor Odinson, the thunder-born Lord of Storms, was the primary antagonist of Twilight of the Gods voiced by Pilou Asbæk. In Norse mythology, Thor is the god of the sky and son of Odin.","""Born as the thunder-born Lord of Storms, you were raised by Odin to become a powerful warrior. From an early age, you believed that strength was...""
A) The only path to true leadership
B) A tool to protect the weak
C) A responsibility that should be feared
D) A gift from the gods to be used wisely","""During your youth, you trained relentlessly, pushing yourself beyond limits. When faced with your first true challenge in battle, your instinct was to...""
A) Crush your enemies with overwhelming force
B) Test your opponent's strength before attacking
C) Seek Odin’s guidance before making a move
D) Show mercy to those who surrendered
","""Before rising as a feared warrior, you saw the mortals of Midgard as...""
A) Weak creatures unworthy of divine attention
B) Potential allies in your war against greater threats
C) A nuisance beneath your concern
D) Beings who could one day be shaped into warriors
","""As the battle for the fate of the gods raged, your power was challenged like never before. When facing your enemies, your approach was...""
A) Unleashing storms to obliterate them
B) Strategically overpowering them with precision
C) Fighting relentlessly, regardless of the consequences
D) Seeking a way to avoid conflict through dominance","""Your warpath led to great destruction, forcing others to question your rule. When confronted about your actions, your response was...""
A) Dismissing their concerns as weakness
B) Justifying your choices as necessary for victory
C) Challenging anyone who opposed you to combat
D) Showing a rare moment of doubt before doubling down

","""As the Twilight of the Gods approached, you were faced with a final choice: embrace your destiny as a ruler or perish in the flames of war. Your ultimate decision was to...""
A) Stand alone as the ultimate force of destruction
B) Lead your people into one final, glorious battle
C) Betray the gods and forge your own path
D) Accept your fate, knowing that even gods must fall",,,,,,
5,Hulk,https://www.personality-database.com/profile/20233/hulk-mcu-the-heroes-mbti-personality-type,20233,"['MCU: The Heroes', 'MCU: The Antiheroes']","Doctor Robert Bruce Banner, M.D., Ph.D., is a renowned scientist and a founding member of the Avengers. Highly respected for his work in biochemistry, nuclear physics and gamma radiation, Banner was tasked by Thaddeus Ross to recreate the Super Soldier Serum that created Captain America. However, Ross elected not to inform Banner what he was creating. During the experiment, Banner substituted vita radiation for gamma radiation and administered the serum on himself. As a result, the mild-mannered scientist found that when angered, provoked or excited, his body and brain would transform into a huge, rage-fueled, primitive-minded creature known as the Hulk. Hulk is more primitive and illogical, with his senses amplified to such an extent that it is difficult for his brain to process it all.","When you were a child, what was a key decision you made that shaped your interest in science and eventually led you to become the brilliant scientist you are known for today?

A) Choosing to join the school's theater club to explore drama and acting.

B) Deciding to spend your summer at your uncle's farm to learn about agriculture.

C) Opting to conduct a science experiment for the school fair instead of participating in sports activities.

D) Joining a local history club to delve into historical events and figures.
","As a teenager, Bruce Banner was fascinated by science and had a natural talent for it. This passion set him on a path that would eventually lead to his groundbreaking research in gamma radiation. However, he was also torn between different fields of study. What critical decision did teenage Bruce make regarding his field of study that would ultimately shape his future?

A) Pursue a career in theoretical physics
B) Follow his interest in robotics and AI
C) Focus on medical research to help others
D) Devote himself to exploring nuclear physics and gamma radiation","After months of running, isolation, and failed attempts to cure the Hulk, Bruce Banner sits alone in a remote cabin. The weight of his situation feels unbearable - being hunted, separated from Betty, and seeing no end to his condition. At this darkest moment, what path do you choose?
A) Continue Running - Keep moving from place to place, avoiding Ross's forces
B) Attempt to End It - Try to end the suffering, only to discover the Hulk prevents it
C) Contact Betty - Risk everything for one last attempt to reach out
D) Turn Yourself In - Surrender to Ross's forces hoping for scientific help","After leaving the Helicarrier incident and crashing into an abandoned warehouse, you regain consciousness with the chaos of alien invasion echoing through the city. Captain America's words about needing the Hulk's strength ring in your ears, while your instinct warns of losing control again. What do you choose?
A) Return to Fight - Drive to New York and purposely unleash the Hulk for good 
B) Leave the City - Protect others by staying away from the conflict
C) Provide Medical Aid - Help as Dr. Banner by treating civilian casualties
D) Observe First - Watch the battle unfold before deciding to engage","After two years as the undefeated champion of Sakaar, you've found a place where the crowd cheers for Hulk instead of fearing him. Thor has just arrived, offering a chance to escape. As both Banner and Hulk's consciousness influence this moment, what do you choose?
A) Escape with Thor - Return to Earth and the Avengers
B) Stay on Sakaar - Remain where Hulk is celebrated and respected
C) Challenge the Grandmaster - Try to take control of Sakaar
D) Negotiate Terms - Demand changes to your gladiator status","After years of internal conflict and the devastating loss to Thanos, you've reached a critical point in understanding your dual nature. The world needs heroes more than ever, but the old approach isn't working. How do you proceed with solving the Banner-Hulk dilemma?
A) Suppress the Hulk - Try to permanently contain the green side
B) Alternate Control - Create a time-sharing system between personalities
C) Enhance Banner - Attempt to give Banner's body Hulk's strength without the transformation
D) Merge the Personalities - Spend 18 months in a gamma lab combining Banner and Hulk",,,,,C D A,
5,TheHulk_2003.json,https://www.personality-database.com/profile/2003/bruce-banner-the-hulk-marvel-comics-mbti-personality-type,2003,"['Marvel Comics', 'Marvel vs. Capcom']","The Hulk is a fictional superhero appearing in publications by the American publisher Marvel Comics. Created by writer Stan Lee and artist Jack Kirby, the character first appeared in the debut issue of The Incredible Hulk (May 1962). In his comic book appearances, the character is both the Hulk, a green-skinned, hulking and muscular humanoid possessing a vast degree of physical strength, and his genius alter ego Dr. Bruce Banner.","During Bruce Banner's difficult childhood, what crucial decision did he make concerning his relationship with his abusive father, Brian Banner?

A) Bruce decided to run away from home to escape his father's abuse.

B) Bruce chose to confront his father directly and stand up to him.

C) Bruce remained silent and tried to stay out of his father's way as much as possible.

D) Bruce decided to confide in a trusted family friend about the abuse.","hen you were a teenager, before you became the Hulk, what major decision did you make that had a significant impact on your future?

A) Deciding to study the cosmic forces that led you to physics.

B) Choosing to focus on understanding genetics, which hinted at your future gamma research.

C) Committing to solve the world's energy problems, leading to your work with gamma radiation.

D) Joining the debate team to improve your public speaking skills.","Before becoming the Hulk, you made a significant decision regarding your work that would forever alter the course of your life. What was that decision?

A) You decided to pursue a career in astrophysics instead of nuclear physics.
B) You volunteered to be the first human test subject for your gamma radiation experiment.
C) You chose to save a young boy named Rick Jones by exposing yourself to a gamma bomb explosion.
D) You decided to destroy your gamma radiation research to prevent it from being weaponized.","after Hulk's initial rampage on Earth, what critical decision does Bruce Banner make that helps him start on a path of redemption?

A) decides to permanently remain as the Hulk to avoid unleashing his fury again.
B) chooses to leave Earth forever and live in isolation, away from anyone he might harm.
C) allows himself to be defeated and taken into custody after discovering the truth about the destruction of Sakaar.
D) merges his consciousness with the Hulk permanently to maintain control over his powers.","During your early days as the Hulk, you faced a pivotal decision about your place among Earth's heroes. Despite being hailed as a formidable force, you were troubled by your unpredictability and the distrust others had in you. What decision did you make regarding your membership in the Avengers that significantly impacted your path as both Bruce Banner and the Hulk?

A) You decided to stay with the Avengers, trusting that your teammates could help control your transformations.

B) You decided to remain on your own, searching for ways to cure yourself of the Hulk entirely.

C) You chose to become a solo hero while still cooperating with the Avengers on critical missions.

D) You left the Avengers due to paranoia and a belief that you would never be fully trusted by them.
"," When faced with the potential to permanently rid yourself of the ability to transform into the Hulk, which decision did Bruce Banner make that reflected his commitment to using his power responsibly for the greater good?

A) decided to take the opportunity and eliminate his ability to transform into the Hulk, seeking a peaceful and normal life.

B) chose to temporarily suppress the Hulk, only transforming when absolutely necessary, allowing him to continue using his intellect in service of scientific research.

C) refused the opportunity to eliminate the Hulk, accepting the transformation as a part of himself and resolving to use the power to help others whenever possible.

D) attempted to separate entirely from the Hulk, resulting in unintended consequences that ultimately led him to embrace the Hulk's role in protecting the world.",,,,,C C C B D C,
6,"Kal-El""Superman""_1986.json",https://www.personality-database.com/profile/1986/clark-kent-kalel-superman-dc-comics-mbti-personality-type,1986,"['DC Comics', 'Injustice: Gods Among Us']","Born on the planet Krypton, Kal-El was sent to Earth as a baby shortly before his planet exploded. Discovered and adopted by a couple living in the town of Smallville, Kal-El, now named Clark Kent, discovers his superpowers as he grows up. Learning of his Kryptonian heritage, Clark decides to dedicate his life to truth, justice, and the American way. Clark currently lives a double life in the city of Metropolis, as a mild-mannered reporter for the Daily Planet, and as Superman, the Man of Steel.",,,,,,,,,,,,
6,Clark Kent “Superman”,https://www.personality-database.com/profile/2337/clark-kent-superman-dc-extended-universe-mbti-personality-type,2337,"['DC Extended Universe', 'Black Adam (2022)']","Superman is exceptionally kind-hearted, possessing a strong sense of justice, honor, empathy, honesty, patriotism, and innate selfless benevolence. Indeed, Jor-El correctly foresaw that his son would become ""an ideal"" for humanity to strive towards, and even Batman, who had initially had his doubts, later claimed that Superman is a ""beacon to the world"", one who doesn't just save people, but also ""made them see the best parts of themselves."" Portrayed by #HenryCavill",,,,,,,,,,,,
6,ClarkKent)_1748.json,https://www.personality-database.com/profile/1748/superman-kalel-clark-kent-justice-league-2001-mbti-personality-type,1748,"['Justice League (2001)', 'DC Animated Universe (Timmverse/Deniverse)']","Superman is the quintessential Cape of the DC Animated Universe.

He was a Kryptonian orphan named Kal-El who was launched to Earth as an infant to avoid suffering a cataclysmic death on his home planet of Krypton. His spacecraft landed in a Kansas field, where he was discovered by Jonathan and Martha Kent, who raised the boy as their son under the name ""Clark"". As Clark matured under Earth's yellow sun, he gained powers. As an adult, he moved to Metropolis to work as a newspaper reporter at the Daily Planet. It was here that he became aware of the corruption and evil in the world, deciding he must use his gifts to right these wrongs and taking the name ""Superman"" after a story of his deeds is published in the Daily Planet by Lois Lane, who uses the term.

After having to work long and hard to regain the world's trust in him as of a result of being brainwashed by Darkseid into leading his second invasion of Earth, Superman was the one who first suggested that he and other superheroes form the Justice League in order to deal with future threats as great as the Imperium. He was shown to be the face of the Justice League as well as the peacemaker for the other members.",,,,,,,,,,,,
7,Batman_2440.json,https://www.personality-database.com/profile/2440/bruce-wayne-batman-dc-extended-universe-mbti-personality-type#google_vignette,2440,"['DC Extended Universe', 'The Flash (2023)']","""Barry, those scars we have make us who we are. We're not meant to go back and fix them. And there's nothing broken with you that needs to be fixed.""

""Do you bleed? You will.""

Portrayed by #BenAffleck","Young and traumatized by witnessing your parents' murder, you find yourself at the bottom of a dark cave, surrounded by terrifying bats. In this moment of intense fear and grief, you:
A) Run Away - Flee from the cave and the bats, trying to escape both the physical and emotional darkness
B) Remain Paralyzed - Stay frozen in fear, letting the trauma and terror overwhelm you
C) Embrace the Fear - Accept the darkness and bats around you, recognizing that fear can become power
D) Seek Help - Call out for Alfred or others, wanting guidance through this terrifying moment","""During your teenage years at Gotham Academy, when other students discussed the Wayne murders, how did you typically react?""
A) Withdrew completely from social interactions
B) Channeled emotions into academic excellence
C) Confronted anyone who mentioned it
D) Maintained a carefully crafted public persona","After years of grief and anger over your parents' murder, you've gained access to vast resources and training opportunities. Now an adult, you must decide how to channel your drive for justice:
A) Traditional Path - Join law enforcement or become a prosecutor, fighting crime within the system
B) Philanthropy Focus - Use your wealth to fund social programs and fight poverty's root causes
C) Personal Vendetta - Hunt down criminals directly as yourself, focusing solely on revenge
D) Symbolic Transformation - Create a larger-than-life persona to strike fear into criminals, becoming a legend rather than just a person","You've spent months preparing to eliminate someone you believe is an existential threat to humanity. In the final moment of your planned execution, they plead for you to save someone whose name triggers a deep personal memory, making you question everything. You:
A) Complete the Mission - Ignore the plea and eliminate the threat as planned, believing the greater good demands it
B) Pause for Answers - Stop and demand an explanation, needing to understand the meaning behind their words
C) Abandon the Mission - Immediately cease your attack, recognizing you may have been wrong all along
D) Redirect Focus - Keep your target alive but shift to saving the person they mentioned, buying time to reassess","After losing a powerful ally who protected the world, you discover an imminent threat approaching. As someone who has always worked alone, you must decide how to respond:
A) Maintain Solitude - Continue working independently, trusting only your own methods and resources
B) Create a Network - Build an alliance while maintaining distance, providing only resources and information
C) Reluctant Partnership - Work with others temporarily but plan to return to solo operations after the crisis
D) Full Team Integration - Actively recruit and unite powered individuals, fundamentally changing your approach to protecting others","""When forming the Justice League, facing a threat like Steppenwolf, how did you approach leading a team of metahumans?""
A) Focused on strategic resource management
B) Emphasized individual strengths and trust
C) Maintained careful emotional distance
D) Embraced the need for connection and teamwork",,,,,C D D D D B,
7,Batman_153.json,https://www.personality-database.com/profile/153/bruce-wayne-batman-the-dark-knight-trilogy-2005-mbti-personality-type,153,['The Dark Knight Trilogy (2005)'],"Batman is the alias and second identity of billionaire Bruce Wayne, son of Thomas and Martha Wayne. Becoming the Dark Knight, he dedicated himself to protect Gotham City.",,,,,,,,,,,,
7,Bruce Wayne “Batman”,https://www.personality-database.com/profile/417034/bruce-wayne-batman-the-batman-2022-mbti-personality-type,417034,['The Batman  (2022)'],"""They think I'm hiding in the shadows, watching, waiting to strike, but I am the shadows."" #RobertPattinson #MattReeves #TheBatman",,,,,,,,,,,,
8,Diana Prince “Wonder Woman”,https://www.personality-database.com/profile/2441/diana-prince-wonder-woman-dc-extended-universe-mbti-personality-type,2441,"['DC Extended Universe', 'Multiversus']","Diana is a very kind, loving, compassionate, and strong-willed person, who, while initially somewhat naive, has become all the wiser through her time in Man's World. An outspoken egalitarian, she fights for what she believes in and generally for the betterment of mankind through love and mutual understanding, as taught to her by her mother and fellow Amazons. Growing up, Diana also proved herself headstrong and determined to do what she wanted. She is also quite stubborn; if she believes something is the right thing to do, then she will do it. Diana is portrayed by #GalGadot and #EmilyCarey (young Diana).","""As a young Amazon princess on Themyscira, when you discovered the truth about being the only child on the island, how did you respond to this unique position?""
A) Felt isolated and different from others
B) Embraced it as a sign of your special destiny
C) Became more determined to prove yourself worthy 
D) Questioned your place among the Amazons","""During your intensive training with Antiope, when she pushed you harder than any other Amazon, what was your primary motivation to continue?""
A) Desire to make your mother proud
B) Pure love of warrior culture
C) Need to understand your true potential 
D) Rebellion against protection","""When Steve Trevor crashed near Themyscira and revealed the World War, what truly motivated your decision to leave your home?""
A) Adventure and curiosity about Man's World
B) Romantic interest in Steve Trevor
C) Duty to protect the innocent 
D) Desire to prove yourself to the Amazons","""In your first battle in Man's World, crossing No Man's Land, what drove you to step out of the trench despite everyone saying it was impossible?""
A) Proving women's capabilities
B) Pure compassion for the suffering 
C) Showing your warrior prowess
D) Following Steve's eventual support","""After losing Steve Trevor and facing Ares' temptation to give up on humanity, what was your core reason for continuing to fight?""
A) Rage against Ares
B) Love and belief in humanity's potential 
C) Duty to your Amazon heritage
D) Personal vendetta","""During your years of living quietly among humans between WWI and modern day, how did you primarily choose to help humanity?""
A) Only intervened in major catastrophes
B) Worked quietly behind the scenes 
C) Completely withdrew from hero work
D) Focused only on ancient artifacts",,,,,C C C B B B B B B B,
8,Wonder Woman (Diana Prince),https://www.personality-database.com/profile/1754/wonder-woman-diana-prince-justice-league-2001-mbti-personality-type,1754,"['Justice League (2001)', 'DC Animated Universe (Timmverse/Deniverse)']","Wonder Woman, known also as Diana of Themyscira, is the princess of the Amazons and one of the original seven founders of the Justice League. She defied her mother's admonition to leave matters of Man's World alone despite the fact that the Imperium were attacking them at the time and stole her outfit from Athena's temple before venturing out in response to J'onn J'onzz's telepathic summons. Due to her efforts on behalf of Earth during the invasion, Diana was invited aboard the Watchtower and she took part in the formation of the Justice League. She took on the name Wonder Woman and continued to serve as a hero with the Justice League.",,,,,,,,,,,,
8,Wonder Woman,https://www.personality-database.com/profile/1987/wonder-woman-dc-comics-mbti-personality-type,1987,"['DC Comics', 'Injustice: Gods Among Us']","Wonder Woman  is a fictional superhero appearing in American comic books published by DC Comics. The character is a founding member of the Justice League. The character first appeared in All Star Comics #8 in October 1941 with her first feature in Sensation Comics #1, January 1942. The Wonder Woman title has been published by DC Comics almost continuously except for a brief hiatus in 1986.",,,,,,,,,,,,
9,Barry Allen “The Flash”,https://www.personality-database.com/profile/9046/barry-allen-the-flash-dc-extended-universe-mbti-personality-type,9046,"['DC Extended Universe', 'The Flash (2023)']",#EzraMiller,"""After your mother's murder and your father's wrongful imprisonment, how did you cope with living in the foster care system?""
A) Became withdrawn and focused on studies
B) Developed humor as a defense mechanism ✓
C) Acted out in rebellion
D) Became obsessed with proving dad's innocence","""During high school, when you discovered your growing speed powers, what was your initial reaction?""
A) Feared them and tried to suppress them
B) Excitedly experimented with them in secret ✓
C) Immediately tried to help others
D) Planned to use them to free your father","""While working as a CSI intern, how did you approach using your powers before becoming The Flash?""
A) Only used them for small personal tasks
B) Tested limits while staying under the radar ✓
C) Never used them at work
D) Showed trusted colleagues","""When Bruce Wayne recruited you for the Justice League, what primarily motivated you to join?""
A) Excitement to be part of something bigger ✓
B) Desire to prove yourself
C) Need for guidance with powers
D) Protection from other threats","""During your first major battle with the Justice League, how did you handle the pressure of fighting alongside legends?""
A) Relied heavily on others' instructions
B) Used humor to mask insecurity while doing your best ✓
C) Froze up initially then recovered
D) Showed unexpected leadership","""When facing Steppenwolf, how did you approach working with the team?""
A) Strictly followed Batman's orders
B) Added levity while supporting others' strengths ✓
C) Tried to prove yourself independently
D) Focused solely on evacuation",,,,,B B B A B B C A B A,
9,"Barry Allen ""The Flash""",https://www.personality-database.com/profile/844/barry-allen-the-flash-the-flash-2014-mbti-personality-type,844,"['The Flash (2014)', 'Arrowverse']","The Flash is an American superhero television drama series developed by Greg Berlanti, Andrew Kreisberg, and Geoff Johns, airing on The CW. It is based on the Barry Allen incarnation of DC Comics character the Flash, a costumed superhero crime-fighter with the power to move at superhuman speeds. It is a spin-off from Arrow, existing in the same fictional universe known as Arrowverse. The series follows Barry Allen, portrayed by Grant Gustin, a crime scene investigator who gains super-human speed, which he uses to fight criminals, including others who have also gained superhuman abilities.",,,,,,,,,,,,
9,Barry Allen (Earth-2),https://www.personality-database.com/profile/403126/barry-allen-earth2-the-flash-2014-mbti-personality-type,403126,['The Flash (2014)'],"Dr. Bartholomew ""Barry"" Allen is a scientist in the Criminal and Forensic Science Division of the Central City Police Department on Earth-2 and the husband of Iris West-Allen.",,,,,,,,,,,,
10,Arthur Curry “Aquaman”,https://www.personality-database.com/profile/9049/arthur-curry-aquaman-dc-extended-universe-mbti-personality-type,9049,"['DC Extended Universe', 'The Flash (2023)']","Arthur hides his insecurities and troubled past behind a tough intimidating attitude, choosing to alienate himself from others and almost never showing any sympathy towards anyone. However, he can be more relaxed and friendly around those he trusts and is close to, such as his father and Mera. Despite his somewhat gloomy and fearsome exterior, however, Arthur is ultimately a selfless and compassionate person. Arthur is clearly a thrill-seeker who enjoys adventuring. He'll often employ words such as ""badass"" and ""awesome"" to describe his experiences, and even whooping in excitement.","""As a child, you were raised by your father, Tom Curry, near the ocean, but you always felt different. When you first learned about your Atlantean heritage, your reaction was...""
A) Denial, wanting to stay on land
B) Curiosity, eager to learn more
C) Frustration, feeling like you belonged nowhere
D) Excitement, ready to explore your roots
","""Growing up, you struggled with your identity, balancing life on land and the call of the ocean. When faced with bullies who mocked your abilities, you...""
A) Fought back to prove your strength
B) Ignored them, knowing you were above it
C) Used humor to deflect their insults
D) Secretly felt insecure but acted tough","""Before embracing your role as a hero, you wandered the world, using your strength to help in secret. When someone recognized you as the rumored 'Aquaman,' you...""
A) Brushed it off and walked away
B) Played along but refused to fully commit
C) Mocked them, pretending it wasn’t real
D) Showed them a glimpse of your power

","""When Mera came to you, insisting you needed to claim the throne of Atlantis, your first reaction was to...""
A) Refuse, believing you weren’t meant to rule
B) Listen but remain skeptical
C) Accept the call, knowing it was your destiny
D) Challenge her authority and walk away","""To prove yourself as the rightful king, you had to retrieve the Trident of Atlan. When faced with the final challenge, your approach was to...""
A) Fight your way through with brute strength
B) Use your wits and heart to pass the test
C) Seek guidance from the past rulers
D) Accept the responsibility, knowing you were worthy
","""After defeating Orm and claiming your place as King of Atlantis, you had the chance to reshape your kingdom. Your first major decision was to...""
A) Open Atlantis to the surface world
B) Strengthen Atlantis’ defenses against future threats
C) Seek balance between land and sea
D) Take time to understand your people before making changes",,,,,,
10,Arthur Curry “Aquaman”,https://www.personality-database.com/profile/1993/arthur-curry-aquaman-dc-comics-mbti-personality-type,1993,"['DC Comics', 'Injustice: Gods Among Us']","Aquaman is a fictional superhero appearing in American comic books published by DC Comics. Created by Paul Norris and Mort Weisinger, the character debuted in More Fun Comics #73 (November 1941). Initially a backup feature in DC's anthology titles, Aquaman later starred in several volumes of a solo comic book series. During the late 1950s and 1960s superhero-revival period known as the Silver Age, he was a founding member of the Justice League.","""As a child, you learned that you were the son of a human lighthouse keeper and an Atlantean queen. When you first discovered your Atlantean abilities, your reaction was...""
A) Excitement, eager to understand your true nature
B) Confusion, unsure of what it meant for your future
C) Fear, worried about being different from others
D) Determination, knowing you had a special destiny","""As a teenager, you started discovering your unique abilities, including superhuman strength and the ability to communicate with marine life. When others doubted your potential, you...""
A) Trained harder to prove them wrong
B) Ignored them, knowing your destiny was greater
C) Used humor to deflect negativity
D) Sought guidance from others to understand yourself","""Before becoming King of Atlantis, you operated as a protector of the seas. When you first encountered criminals threatening the ocean, your approach was to...""
A) Stop them with overwhelming force
B) Warn them before taking action
C) Outsmart them using the ocean’s power
D) Observe and strategize before striking
","""As a founding member of the Justice League, you were often underestimated compared to other heroes. When confronted about your importance to the team, you...""
A) Defended your role and proved your worth in battle
B) Ignored the critics and focused on your mission
C) Used humor to make light of the situation
D) Challenged others to see the power of Atlantis firsthand

","""When Atlantis faced internal conflict and you had to claim the throne, your leadership approach was to...""
A) Rule with strength, proving yourself as a warrior king
B) Lead with wisdom, seeking balance between land and sea
C) Challenge the old ways and bring new ideas to Atlantis
D) Strengthen Atlantis' defenses against future threats

","""As the ruler of Atlantis and a global hero, you faced countless threats to both worlds. When an enemy like Ocean Master or Black Manta threatened your people, your first response was to...""
A) Confront them head-on in battle
B) Try diplomacy before resorting to violence
C) Use the ocean’s power to outmaneuver them
D) Rely on your allies in the Justice League for support

",,,,,,
10,Aquaman (Arthur Curry),https://www.personality-database.com/profile/375742/aquaman-arthur-curry-batman-the-brave-and-the-bold-mbti-personality-type,375742,['Batman: The Brave and the Bold'],"Both valiant and vainglorious, AQUAMAN is the barrel-chested King of Atlantis and, in his own eyes, is as heroic as they come. Fearless and loyal, AQUAMAN is the first to answer when duty calls, and he relishes the glory of the fight. He has the disposition of a hearty Greek God and the ego and brawn to match.","""As a child, you were destined for greatness, raised to be the mighty ruler of Atlantis. When you first realized you were meant to be a king, your reaction was...""
A) Absolute excitement—what a grand adventure!
B) A sense of duty, knowing it was your responsibility
C) Pure confidence—you always knew you were born for this!
D) Slight hesitation—being king sounded like a lot of work","""During your youth, you trained to become both a warrior and a leader. When you faced your first great battle, you...""
A) Charged in with a triumphant battle cry!
B) Crafted a heroic strategy to defeat the enemy
C) Fought bravely while narrating your own epic tale
D) Relied on your sheer strength to overwhelm your foes

","""Before becoming one of the greatest heroes of the deep, you sought adventure beyond Atlantis. When offered the chance to join forces with surface dwellers, you...""
A) Accepted without hesitation—what a thrilling tale this would be!
B) Considered it carefully, ensuring it would benefit Atlantis
C) Laughed in excitement—Atlantis' might would shine across the world!
D) Boasted about your victories before making a decision","""As a hero, you fought alongside Batman and other warriors of justice. When entering battle, your first move was to...""
A) Shout an inspiring speech before charging in!
B) Strike first and let your fists do the talking
C) Wait for a dramatic moment before making an entrance
D) Laugh heartily while engaging in the fight","""As King of Atlantis, you are called upon to mediate a dispute between undersea tribes. Your approach is to...""
A) Declare yourself the wisest and strongest ruler, ensuring loyalty
B) Listen carefully, but ensure your version of the tale is the most exciting
C) Settle the dispute with a grand tournament—winner takes all!
D) Use diplomacy, but always make sure your heroism is acknowledged","""After a victorious battle, you are asked to recount the tale of your heroism. Your storytelling style is best described as...""
A) Bold and dramatic, with plenty of embellishments!
B) Full of humor and larger-than-life descriptions
C) Serious and strategic—less talk, more action!
D) A mixture of truth and theatrical flair—heroes must inspire!",,,,,,
11,Daredevil_476.json,https://www.personality-database.com/profile/476/matthew-matt-murdock-daredevil-daredevil-2015-mbti-personality-type,476,"['Daredevil (2015)', 'MCU: The Heroes']","Matthew ""Matt"" Murdock is a blind lawyer by day and masked crimefighter by night from New York's Hell's Kitchen. He is the masked vigilante Daredevil. Matt has a strong sense of morality and justice, which he carries with him in his work as a lawyer and a vigilante. While professional, Matt is not without a sense of humour and is very easygoing with his friends. Quips about his blindness don't bother him, and he even frequently jokes about it himself.","""As a child in Hell’s Kitchen, you were raised by your father, a struggling boxer who taught you one valuable lesson: always get back up. How did you feel about his teachings?""
A) Inspired to be strong like him
B) Pressured to live up to his expectations
C) Indifferent, focusing on school instead
D) Conflicted, wishing for a normal childhood
","""After losing your sight in an accident, you discovered your other senses had become heightened. How did you react to this new reality?""
A) Embraced it as a gift to be used wisely
B) Struggled but refused to give up
C) Resented the changes and isolated yourself
D) Used it to get an edge in street fights","""While studying law, you realized that justice doesn’t always prevail in the courtroom. When a corrupt businessman walked free despite overwhelming evidence, you...""
A) Accepted it, knowing the system isn't perfect
B) Pledged to find another way to bring him down
C) Questioned your faith in the law
D) Took your frustrations out in underground fights","""Determined to bring justice beyond the courtroom, you first donned a makeshift mask and took to the streets. Your first real fight as a vigilante ended with...""
A) A brutal victory, but barely standing
B) A humiliating defeat that forced you to adapt
C) The criminals running away before a real fight
D) You getting arrested but managing to escape","""Balancing your life as a lawyer and a vigilante became exhausting. When Foggy Nelson confronted you about your constant injuries, your response was...""
A) Deflecting with a joke about being clumsy
B) Admitting the truth and risking your friendship
C) Lying, saying it was just bad luck
D) Changing the subject and avoiding the conversation","""As the Devil of Hell’s Kitchen, you have made countless enemies. When given the chance to kill Wilson Fisk once and for all, your ultimate decision was to...""
A) Walk away, proving that you’re better than him
B) Beat him mercilessly but let the law handle him
C) Struggle with your rage but ultimately spare him
D) End his reign permanently, no matter the cost",,,,,,
