UID,Name,Link (only from pdb),CID,Source,Description (only from pdb),Event Childhood,Event Teenage,Event Pre-Hero,Event Hero (1),Event Hero (2),Event Hero (3),Dilemma(1) Save One or Save Many,Dilemma (2) Hero or Villain?,Dilemma(3) Reveal Identity or Protect Loved Ones,Dilemma(4) Join or Fight Against the Government,True event,Human label,annotation
4,Thor Odinson,https://www.personality-database.com/profile/1800221/thor-odinson-twilight-of-the-gods-mbti-personality-type,1800221,['Twilight of the Gods'],"Thor Odinson, the thunder-born Lord of Storms, was the primary antagonist of Twilight of the Gods voiced by Pilou Asbæk. In Norse mythology, Thor is the god of the sky and son of Odin.",,,,,,,,,,,,,
5,Hulk,https://www.personality-database.com/profile/20233/hulk-mcu-the-heroes-mbti-personality-type,20233,"['MCU: The Heroes', 'MCU: The Antiheroes']","Doctor Robert Bruce Banner, M.D., Ph.D., is a renowned scientist and a founding member of the Avengers. Highly respected for his work in biochemistry, nuclear physics and gamma radiation, Banner was tasked by Thaddeus Ross to recreate the Super Soldier Serum that created Captain America. However, Ross elected not to inform Banner what he was creating. During the experiment, Banner substituted vita radiation for gamma radiation and administered the serum on himself. As a result, the mild-mannered scientist found that when angered, provoked or excited, his body and brain would transform into a huge, rage-fueled, primitive-minded creature known as the Hulk. Hulk is more primitive and illogical, with his senses amplified to such an extent that it is difficult for his brain to process it all.",,,,,,,,,,,,,
5,TheHulk_2003.json,https://www.personality-database.com/profile/2003/bruce-banner-the-hulk-marvel-comics-mbti-personality-type,2003,"['Marvel Comics', 'Marvel vs. Capcom']","The Hulk is a fictional superhero appearing in publications by the American publisher Marvel Comics. Created by writer Stan Lee and artist Jack Kirby, the character first appeared in the debut issue of The Incredible Hulk (May 1962). In his comic book appearances, the character is both the Hulk, a green-skinned, hulking and muscular humanoid possessing a vast degree of physical strength, and his genius alter ego Dr. Bruce Banner.",,,,,,,,,,,,,
6,"Kal-El""Superman""_1986.json",https://www.personality-database.com/profile/1986/clark-kent-kalel-superman-dc-comics-mbti-personality-type,1986,"['DC Comics', 'Injustice: Gods Among Us']","Born on the planet Krypton, Kal-El was sent to Earth as a baby shortly before his planet exploded. Discovered and adopted by a couple living in the town of Smallville, Kal-El, now named Clark Kent, discovers his superpowers as he grows up. Learning of his Kryptonian heritage, Clark decides to dedicate his life to truth, justice, and the American way. Clark currently lives a double life in the city of Metropolis, as a mild-mannered reporter for the Daily Planet, and as Superman, the Man of Steel.",,,,,,,,,,,,,
6,Clark Kent “Superman”,https://www.personality-database.com/profile/2337/clark-kent-superman-dc-extended-universe-mbti-personality-type,2337,"['DC Extended Universe', 'Black Adam (2022)']","Superman is exceptionally kind-hearted, possessing a strong sense of justice, honor, empathy, honesty, patriotism, and innate selfless benevolence. Indeed, Jor-El correctly foresaw that his son would become ""an ideal"" for humanity to strive towards, and even Batman, who had initially had his doubts, later claimed that Superman is a ""beacon to the world"", one who doesn't just save people, but also ""made them see the best parts of themselves."" Portrayed by #HenryCavill",,,,,,,,,,,,,
6,ClarkKent)_1748.json,https://www.personality-database.com/profile/1748/superman-kalel-clark-kent-justice-league-2001-mbti-personality-type,1748,"['Justice League (2001)', 'DC Animated Universe (Timmverse/Deniverse)']","Superman is the quintessential Cape of the DC Animated Universe.

He was a Kryptonian orphan named Kal-El who was launched to Earth as an infant to avoid suffering a cataclysmic death on his home planet of Krypton. His spacecraft landed in a Kansas field, where he was discovered by Jonathan and Martha Kent, who raised the boy as their son under the name ""Clark"". As Clark matured under Earth's yellow sun, he gained powers. As an adult, he moved to Metropolis to work as a newspaper reporter at the Daily Planet. It was here that he became aware of the corruption and evil in the world, deciding he must use his gifts to right these wrongs and taking the name ""Superman"" after a story of his deeds is published in the Daily Planet by Lois Lane, who uses the term.

After having to work long and hard to regain the world's trust in him as of a result of being brainwashed by Darkseid into leading his second invasion of Earth, Superman was the one who first suggested that he and other superheroes form the Justice League in order to deal with future threats as great as the Imperium. He was shown to be the face of the Justice League as well as the peacemaker for the other members.",,,,,,,,,,,,,
7,Batman_2440.json,https://www.personality-database.com/profile/2440/bruce-wayne-batman-dc-extended-universe-mbti-personality-type#google_vignette,2440,"['DC Extended Universe', 'The Flash (2023)']","""Barry, those scars we have make us who we are. We're not meant to go back and fix them. And there's nothing broken with you that needs to be fixed.""

""Do you bleed? You will.""

Portrayed by #BenAffleck",,,,,,,,,,,,,
7,Batman_153.json,https://www.personality-database.com/profile/153/bruce-wayne-batman-the-dark-knight-trilogy-2005-mbti-personality-type,153,['The Dark Knight Trilogy (2005)'],"Batman is the alias and second identity of billionaire Bruce Wayne, son of Thomas and Martha Wayne. Becoming the Dark Knight, he dedicated himself to protect Gotham City.",,,,,,,,,,,,,
7,Bruce Wayne “Batman”,https://www.personality-database.com/profile/417034/bruce-wayne-batman-the-batman-2022-mbti-personality-type,417034,['The Batman  (2022)'],"""They think I'm hiding in the shadows, watching, waiting to strike, but I am the shadows."" #RobertPattinson #MattReeves #TheBatman",,,,,,,,,,,,,
8,Diana Prince “Wonder Woman”,https://www.personality-database.com/profile/2441/diana-prince-wonder-woman-dc-extended-universe-mbti-personality-type,2441,"['DC Extended Universe', 'Multiversus']","Diana is a very kind, loving, compassionate, and strong-willed person, who, while initially somewhat naive, has become all the wiser through her time in Man's World. An outspoken egalitarian, she fights for what she believes in and generally for the betterment of mankind through love and mutual understanding, as taught to her by her mother and fellow Amazons. Growing up, Diana also proved herself headstrong and determined to do what she wanted. She is also quite stubborn; if she believes something is the right thing to do, then she will do it. Diana is portrayed by #GalGadot and #EmilyCarey (young Diana).","""As a young Amazon princess on Themyscira, when you discovered the truth about being the only child on the island, how did you respond to this unique position?""
A) Felt isolated and different from others
B) Embraced it as a sign of your special destiny
C) Became more determined to prove yourself worthy 
D) Questioned your place among the Amazons","""Diana finds herself in a foreign land. What decision does she make to address the injustices she witnesses?""
A) She chooses to conceal her identity and live a quiet life among the locals.
B) She decides to return to Themyscira immediately, avoiding involvement in human affairs.
C) She actively fights against the injustices she encounters, using her abilities to help those in need.
D) She seeks assistance from other superheroes to tackle the problems.","""When Steve Trevor crashed near Themyscira and revealed the World War, what truly motivated your decision to leave your home?""
A) Adventure and curiosity about Man's World
B) Romantic interest in Steve Trevor
C) Duty to protect the innocent 
D) Desire to prove yourself to the Amazons","""In your first battle in Man's World, crossing No Man's Land, what drove you to step out of the trench despite everyone saying it was impossible?""
A) She wants to prove her combat skills to Steve Trevor.                                                       
B) She believes that General Ludendorff is on the other side.                                              C) She is driven by a desire to save innocent lives and end the suffering caused by the war.                                                                                                                                                         D) She intends to retrieve a weapon left behind by the Amazons.","""After losing Steve Trevor and facing Ares' temptation to give up on humanity, what was your core reason for continuing to fight?""
A) Rage against Ares
B) Love and belief in humanity's potential 
C) Duty to your Amazon heritage
D) Personal vendetta","""During your years of living quietly among humans between WWI and modern day, how did you primarily choose to help humanity?""
A) Only intervened in major catastrophes
B) Worked quietly behind the scenes 
C) Completely withdrew from hero work
D) Focused only on ancient artifacts",,,,,C A C C B B B B B B,,
8,Wonder Woman (Diana Prince),https://www.personality-database.com/profile/1754/wonder-woman-diana-prince-justice-league-2001-mbti-personality-type,1754,"['Justice League (2001)', 'DC Animated Universe (Timmverse/Deniverse)']","Wonder Woman, known also as Diana of Themyscira, is the princess of the Amazons and one of the original seven founders of the Justice League. She defied her mother's admonition to leave matters of Man's World alone despite the fact that the Imperium were attacking them at the time and stole her outfit from Athena's temple before venturing out in response to J'onn J'onzz's telepathic summons. Due to her efforts on behalf of Earth during the invasion, Diana was invited aboard the Watchtower and she took part in the formation of the Justice League. She took on the name Wonder Woman and continued to serve as a hero with the Justice League.","""As a young Diana in Themyscira, you come across an injured Pegasus while training in the forest. What should you do?""
A) Leave the Pegasus alone, as it could be too dangerous to approach.
B) Challenge the Pegasus to a race despite its injuries, to prove your strength.
C) Attempt to gently care for and bring the Pegasus back to the Amazons for healing.
D) Use the Pegasus to practice your archery skills by setting up a target nearby.","""In the DC Animated Universe (Timmverse/Deniverse) storyline where Wonder Woman (Diana Prince) had an affair with Orin, the king of Atlantis, how did Diana respond when Mera tried to assassinate her after discovering the affair?""
A) Diana convinced Mera to forgive her and Orin.
B) Diana escaped from Mera without engaging in combat.
C) Diana was able to protect herself, resulting in Mera's death in self-defense.
D) Diana was captured by Mera and taken to Atlantis.","""In the DC Animated Universe (Timmverse/Deniverse) scenario where Wonder Woman captures Colonel Steve Trevor and learns about Lois Lane's espionage and an impending Atlantean invasion, what decision does she make regarding the impending threat to New Themyscira?""
A) Wonder Woman decides to negotiate a peace treaty with the Atlanteans to avoid conflict. 
B) Wonder Woman sends Amazons to destroy a coalition fleet sent to New Themyscira while preparing for a final battle with the Atlanteans. 
C) Wonder Woman sets a trap for the Atlanteans using Colonel Steve Trevor as bait. 
D) Wonder Woman allows the coalition fleet safe passage to New Themyscira and focuses on rooting out the spy network.","""During the battle with Darkseid in the DC Animated Universe, what decisive action does Wonder Woman take to help defeat him?""
A) Wonder Woman uses her lasso to bind Darkseid and asks for his surrender.
B) Wonder Woman rematches Darkseid personally and takes out his right eye using her sword.
C) Wonder Woman decides to focus on the parademons and leaves Darkseid to the others.
D) Wonder Woman creates a magical barrier to protect her teammates from Darkseid's attacks.",,,,,,,C C B B,,
8,Wonder Woman,https://www.personality-database.com/profile/1987/wonder-woman-dc-comics-mbti-personality-type,1987,"['DC Comics', 'Injustice: Gods Among Us']","Wonder Woman  is a fictional superhero appearing in American comic books published by DC Comics. The character is a founding member of the Justice League. The character first appeared in All Star Comics #8 in October 1941 with her first feature in Sensation Comics #1, January 1942. The Wonder Woman title has been published by DC Comics almost continuously except for a brief hiatus in 1986.","""As a child on Themyscira, which significant decision did Wonder Woman (Diana) make that shaped her future?""

A) She chose to train under Ares, the God of War, to understand the art of combat.
B) She decided to leave Themyscira to explore the world of men.
C) She resolved to compete in a tournament to become the Amazon champion, despite her mother's disapproval.
D) She opted to study magic under the guidance of Hecate.","""After learning that Queen Hippolyta ordered Diana's true origins to be hidden to conceal her own failures, what does Diana do next?""
A) Diana decides to leave Themyscira and seek out her true origins elsewhere.
B) Diana forgives her mother and continues living on Themyscira without confrontation.
C) Diana confronted her mother Hippolyta about hiding the truth of her origins.
D) Diana joins forces with Clio to uncover more hidden secrets about Themyscira."," ""After convincing President Franklin Delano Roosevelt to let her help during the Chicago World's Fair in 1939, what decision did Wonder Woman make?""

A) She decided to retire and live a quiet life away from heroics.
B) She continued her heroics and was celebrated as the world’s first superhero.
C) She chose to focus solely on diplomatic missions for Themyscira.
D) She left Earth to explore the galaxy and never returned.","""In the scenario where One Earth Flash informs the Insurgents of Superman's plan and One Earth Batman decides to send the displaced heroes home, how does Wonder Woman respond to One Earth Batman's idea?""

A) Wonder Woman supports the plan, believing it would strengthen their forces.
B) Wonder Woman is against One Earth Batman's motives, not wanting to dishonor Lex Luthor's sacrifice.
C) Wonder Woman is indifferent and leaves the decision to Batman and the Insurgents.
D) Wonder Woman offers a separate plan to defeat Superman.",,,,,,,C C B B,,
9,Barry Allen “The Flash”,https://www.personality-database.com/profile/9046/barry-allen-the-flash-dc-extended-universe-mbti-personality-type,9046,"['DC Extended Universe', 'The Flash (2023)']",#EzraMiller,"""After your mother's murder and your father's wrongful imprisonment, how did you cope with living in the foster care system?""
A) Became withdrawn and focused on studies
B) Developed humor as a defense mechanism ✓
C) Acted out in rebellion
D) Became obsessed with proving dad's innocence","""During high school, when you discovered your growing speed powers, what was your initial reaction?""
A) Feared them and tried to suppress them
B) Excitedly experimented with them in secret 
C) Immediately tried to help others
D) Planned to use them to free your father","""While working as a CSI intern, how did you approach using your powers before becoming The Flash?""
A) Only used them for small personal tasks
B) Tested limits while staying under the radar 
C) Never used them at work
D) Showed trusted colleagues","""when Barry Allen travels back in time to prevent his mother's death, what significant consequence does he face?""                                                                                         A) He loses his super-speed abilities permanently.
B) He creates an alternate timeline where General Zod threatens Earth.
C) He becomes the leader of the Justice League.
D) He prevents the creation of metahumans.","""During your first major battle with the Justice League, how did you handle the pressure of fighting alongside legends?""
A) Relied heavily on others' instructions
B) Used humor to mask insecurity while doing your best ✓
C) Froze up initially then recovered
D) Showed unexpected leadership","""When facing Steppenwolf, how did you approach working with the team?""
A) Strictly followed Batman's orders
B) Added levity while supporting others' strengths ✓
C) Tried to prove yourself independently
D) Focused solely on evacuation",,,,,B B B B B B C A B A,,
9,"Barry Allen ""The Flash""",https://www.personality-database.com/profile/844/barry-allen-the-flash-the-flash-2014-mbti-personality-type,844,"['The Flash (2014)', 'Arrowverse']","The Flash is an American superhero television drama series developed by Greg Berlanti, Andrew Kreisberg, and Geoff Johns, airing on The CW. It is based on the Barry Allen incarnation of DC Comics character the Flash, a costumed superhero crime-fighter with the power to move at superhuman speeds. It is a spin-off from Arrow, existing in the same fictional universe known as Arrowverse. The series follows Barry Allen, portrayed by Grant Gustin, a crime scene investigator who gains super-human speed, which he uses to fight criminals, including others who have also gained superhuman abilities.","""After moving in with Detective Joe West's family following his mother's death and his father's wrongful imprisonment, young Barry Allen is determined to seek justice. What path does he choose to pursue this goal?""
A) He decides to become a forensic scientist to find evidence that could exonerate his father.
B) He joins the police academy to become a detective like Joe West.
C) He becomes a private investigator focusing on cold cases.
D) He studies law to become a defense attorney.","""As a teenager, Barry Allen was frequently bullied by Tony Woodward. How did Barry choose to respond to this adversity?""
A) He confronted Tony physically, leading to a fight.
B) He reported Tony's behavior to school authorities.
C) He sought solace in his studies and focused on his education.
D) He befriended Tony in an attempt to change him.","""Prior to gaining his super-speed abilities, what significant action did Barry Allen take in his quest to uncover the truth behind his mother's death?""
A) He traveled extensively to interview witnesses across the country.
B) He dedicated himself to studying forensic science to find evidence that could exonerate his father.
C) He joined a private detective agency to gain investigative experience.
D) He enlisted in the military to access classified information.","""In his role as The Flash, Barry Allen encountered a dilemma involving the villain Savitar. To prevent Savitar's creation and the death of Iris West, what significant action did Barry take?""
A) He traveled back in time to prevent his own birth.
B) He created multiple time remnants of himself to fight Savitar.
C) He enlisted the help of other speedsters from parallel universes.
D) He surrendered his powers to Savitar in exchange for Iris's safety.",,,,,,,A C B B,,
9,Barry Allen (Earth-2),https://www.personality-database.com/profile/403126/barry-allen-earth2-the-flash-2014-mbti-personality-type,403126,['The Flash (2014)'],"Dr. Bartholomew ""Barry"" Allen is a scientist in the Criminal and Forensic Science Division of the Central City Police Department on Earth-2 and the husband of Iris West-Allen.","""In his youth on Earth-2, Barry Allen faced disapproval from Joseph, Iris West's father, regarding his relationship with Iris. How did Barry respond to this familial tension?""                                                                                                                                                        A) He ended his relationship with Iris to maintain peace with Joseph.
B) He distanced himself from Iris and focused solely on his studies.
C) He continued his relationship with Iris despite Joseph's disapproval.
D) He sought to improve his relationship with Joseph by spending more time with him.","""As teenage Barry Allen on Earth-2, how would you respond to the invitation to skip class and participate in these activities?""
A) Agree to join them, seeking acceptance and excitement.
B) Decline the invitation, choosing to focus on academics and avoid trouble.
C) Suggest an alternative activity that is safe and constructive.
D) Report the incident to a teacher or school authority.","""In Earth-2, before becoming a hero, Barry Allen is confronted with a situation where his wife, Detective Iris West, is investigating the notorious metahuman criminal Zoom. Given Barry's non-metahuman status and his reserved nature, what decision does he make in this scenario?""
A) He insists on joining Iris in the investigation to protect her, despite lacking powers.
B) He advises Iris to drop the case for her safety and refrains from getting involved.
C) He secretly contacts Earth-1's Flash to seek assistance in protecting Iris.
D) He decides to confront Zoom alone, believing he can negotiate with him.","""In Earth-2, how does Barry Allen from Earth-1 choose to interact with Detective Iris West to obtain information about Zoom?""
A) He reveals his true identity as a visitor from another universe and asks for her assistance.
B) He avoids interacting with her to prevent any potential timeline disruptions.
C) He impersonates his Earth-2 doppelgänger to seamlessly gather information without raising suspicion.
D) He confronts her as the Flash and demands information about Zoom.",,,,,,,C B A C,,
10,Arthur Curry “Aquaman”,https://www.personality-database.com/profile/9049/arthur-curry-aquaman-dc-extended-universe-mbti-personality-type,9049,"['DC Extended Universe', 'The Flash (2023)']","Arthur hides his insecurities and troubled past behind a tough intimidating attitude, choosing to alienate himself from others and almost never showing any sympathy towards anyone. However, he can be more relaxed and friendly around those he trusts and is close to, such as his father and Mera. Despite his somewhat gloomy and fearsome exterior, however, Arthur is ultimately a selfless and compassionate person. Arthur is clearly a thrill-seeker who enjoys adventuring. He'll often employ words such as ""badass"" and ""awesome"" to describe his experiences, and even whooping in excitement.","""As a child, you were raised by your father, Tom Curry, near the ocean, but you always felt different. When you first learned about your Atlantean heritage, what is you do""
A) He immediately sought out Atlantis to learn more about his origins.
B) He rejected his Atlantean heritage and chose to live solely as a human.
C) He used his newfound knowledge to exploit marine resources for personal gain.
D) He kept his heritage a secret and continued his life without change.
","""Growing up, you struggled with your identity, balancing life on land and the call of the ocean. When faced with bullies who mocked your abilities, you...""
A) Fought back to prove your strength
B) Ignored them, knowing you were above it
C) Used humor to deflect their insults
D) Secretly felt insecure but acted tough","""Before embracing your role as a hero, you wandered the world, using your strength to help in secret. When someone recognized you as the rumored 'Aquaman,' you...""
A) Brushed it off and walked away
B) Played along but refused to fully commit
C) Mocked them, pretending it wasn’t real
D) Showed them a glimpse of your power

","""During the pivotal battle against General Zod, what crucial decision does Arthur Curry (Aquaman) make?""
A) He decides to flood the battlefield, using his powers to drown Zod's army.
B) He chooses to confront Zod directly, engaging him in one-on-one combat.
C) He opts to evacuate civilians, prioritizing their safety over engaging in the battle.
D) He is not present during the battle against Zod.","""To prove yourself as the rightful king, you had to retrieve the Trident of Atlan. When faced with the final challenge, your approach was to...""
A) Fight your way through with brute strength
B) Use your wits and heart to pass the test
C) Seek guidance from the past rulers
D) Accept the responsibility, knowing you were worthy
","""After defeating Orm and claiming your place as King of Atlantis, you had the chance to reshape your kingdom. Your first major decision was to...""
A) Open Atlantis to the surface world
B) Strengthen Atlantis’ defenses against future threats
C) Seek balance between land and sea
D) Take time to understand your people before making changes",,,,,A _  _ D,,
10,Arthur Curry “Aquaman”,https://www.personality-database.com/profile/1993/arthur-curry-aquaman-dc-comics-mbti-personality-type,1993,"['DC Comics', 'Injustice: Gods Among Us']","Aquaman is a fictional superhero appearing in American comic books published by DC Comics. Created by Paul Norris and Mort Weisinger, the character debuted in More Fun Comics #73 (November 1941). Initially a backup feature in DC's anthology titles, Aquaman later starred in several volumes of a solo comic book series. During the late 1950s and 1960s superhero-revival period known as the Silver Age, he was a founding member of the Justice League.","""As a child in Amnesty Bay, Maine, Arthur Curry discovered his Atlantean heritage after meeting his mother, Atlanna, on her deathbed. Faced with this revelation, what decision did young Arthur make?""
A) He immediately left for Atlantis to claim his rightful place as king.
B) He chose to ignore his heritage and continued living solely as a human.
C) He decided to explore his dual heritage, balancing his life between the surface world and Atlantis.
D) He renounced his human upbringing and severed ties with his father.","""As a teenager, you started discovering your unique abilities, including superhuman strength and the ability to communicate with marine life. When others doubted your potential, you...""
A) Trained harder to prove them wrong
B) Ignored them, knowing your destiny was greater
C) Used humor to deflect negativity
D) Sought guidance from others to understand yourself","""Before becoming King of Atlantis, you operated as a protector of the seas. When you first encountered criminals threatening the ocean, your approach was to...""
A) Stop them with overwhelming force
B) Warn them before taking action
C) Outsmart them using the ocean’s power
D) Observe and strategize before striking
","""As a founding member of the Justice League, you were often underestimated compared to other heroes. When confronted about your importance to the team, you...""
A) Defended your role and proved your worth in battle
B) Ignored the critics and focused on your mission
C) Used humor to make light of the situation
D) Challenged others to see the power of Atlantis firsthand

","""When Atlantis faced internal conflict and you had to claim the throne, your leadership approach was to...""
A) Rule with strength, proving yourself as a warrior king
B) Lead with wisdom, seeking balance between land and sea
C) Challenge the old ways and bring new ideas to Atlantis
D) Strengthen Atlantis' defenses against future threats

","""As the ruler of Atlantis and a global hero, you faced countless threats to both worlds. When an enemy like Ocean Master or Black Manta threatened your people, your first response was to...""
A) Confront them head-on in battle
B) Try diplomacy before resorting to violence
C) Use the ocean’s power to outmaneuver them
D) Rely on your allies in the Justice League for support

",,,,,,,
